line,sample,Replicate,number of rhizoids,Treatment
MpSg9 A,0,1,11,OE
MpSg9 A,1,1,1,OE
MpSg9 A,2,1,0,OE
MpSg9 A,3,1,0,OE
MpSg9 A,4,1,0,OE
MpSg9 B,0,1,6,OE
MpSg9 B,1,1,4,OE
MpSg9 B,2,1,18,OE
MpSg9 B,3,1,0,OE
MpSg9 B,4,1,0,OE
MpSg9 D,0,1,0,OE
MpSg9 D,1,1,7,OE
MpSg9 D,2,1,0,OE
MpSg9 D,3,1,10,OE
MpSg9 D,4,1,9,OE
MpSg9 G,0,1,0,OE
MpSg9 G,1,1,0,OE
MpSg9 G,2,1,0,OE
MpSg9 G,3,1,0,OE
MpSg9 G,4,1,0,OE
SpKD1 D,0,1,26,KD
SpKD1 D,1,1,28,KD
SpKD1 D,2,1,23,KD
SpKD1 D,3,1,24,KD
SpKD1 D,4,1,22,KD
SpKD1 E,0,1,21,KD
SpKD1 E,1,1,20,KD
SpKD1 E,2,1,7,KD
SpKD1 E,3,1,20,KD
SpKD1 E,4,1,16,KD
SpKD1 G,0,1,16,KD
SpKD1 G,1,1,25,KD
SpKD1 G,2,1,22,KD
SpKD1 G,3,1,20,KD
SpKD1 G,4,1,21,KD
SpKD1 H,0,1,18,KD
SpKD1 H,1,1,20,KD
SpKD1 H,2,1,21,KD
SpKD1 H,3,1,17,KD
SpKD1 H,4,1,30,KD
SpKD1 H,5,1,25,KD
SpKD1 H,6,1,25,KD
SpKD1 H,7,1,18,KD
SpKD1 H,8,1,20,KD
SpKD1 H,9,1,32,KD
Wt,0,1,25,Wt
Wt,1,1,25,Wt
Wt,2,1,29,Wt
Wt,3,1,29,Wt
Wt,,1,29,Wt
Wt,4,1,16,Wt
MpSg9 C,,1,0,
MpSg9 C,,1,0,
MpSg9 C,,1,0,
MpSg9 C,,1,0,
MpSg9 C,,1,0,
MpSg9 B,,2,6,OE
MpSg9 B,,2,5,OE
MpSg9 B,,2,1,OE
MpSg9 B,,2,0,OE
MpSg9 B,,2,8,OE
MpSg9 D,,2,0,OE
MpSg9 D,,2,0,OE
MpSg9 D,,2,0,OE
MpSg9 D,,2,0,OE
MpSg9 D,,2,6,OE
MpSg9 G,,2,6,OE
MpSg9 G,,2,0,OE
MpSg9 G,,2,0,OE
MpSg9 G,,2,0,OE
MpSg9 G,,2,5,OE
SpKD1 A,,2,33,KD
SpKD1 A,,2,32,KD
SpKD1 A,,2,32,KD
SpKD1 A,,2,40,KD
SpKD1 A,,2,32,KD
SpKD1 D,,2,32,KD
SpKD1 D,,2,26,KD
SpKD1 D,,2,20,KD
SpKD1 D,,2,27,KD
SpKD1 D,,2,26,KD
SpKD1 E,,2,20,KD
SpKD1 E,,2,25,KD
SpKD1 E,,2,30,KD
SpKD1 E,,2,14,KD
SpKD1 E,,2,24,KD
SpKD1 G,,2,28,KD
SpKD1 G,,2,24,KD
SpKD1 G,,2,32,KD
SpKD1 G,,2,27,KD
SpKD1 G,,2,25,KD
SpKD1 pHART A,,2,31,KD
SpKD1 pHART A,,2,34,KD
SpKD1 pHART A,,2,28,KD
SpKD1 pHART A,,2,21,KD
SpKD1 pHART A,,2,26,KD
SpKD1 pHART A,,2,32,KD
SpKD1 pHART A,,2,22,KD
SpKD1 pHART A,,2,25,KD
SpKD1 pHART A,,2,23,KD
SpKD1 pHART G,,2,29,KD
SpKD1 pHART G,,2,28,KD
SpKD1 pHART G,,2,33,KD
SpKD1 pHART G,,2,17,KD
SpKD1 pHART G,,2,29,KD
SpKD1 pHART G,,2,32,KD
SpKD1 pHART G,,2,27,KD
SpKD1 pHART G,,2,26,KD
SpKD1 pHART G,,2,28,KD
SpKD1 pHART G,,2,13,KD
Wt,,2,31,Wt
Wt,,2,25,Wt
Wt,,2,17,Wt
Wt,,2,28,Wt
Wt,,2,31,Wt
MpSg9 C,,3,18,OE
MpSg9 C,,3,14,OE
MpSg9 C,,3,6,OE
MpSg9 C,,3,11,OE
MpSg9 C,,3,10,OE
MpSg9 C,,3,13,OE
MpSg9 C,,3,12,OE
MpSg9 C,,3,14,OE
MpSg9 C,,3,5,OE
MpSg9 C,,3,11,OE
MpSg9:pHART C,,4,22,OE
MpSg9:pHART C,,4,25,OE
MpSg9:pHART C,,4,21,OE
MpSg9:pHART C,,4,23,OE
MpSg9:pHART C,,4,18,OE
MpSg9:pHART C,,4,18,OE
MpSg9:pHART C,,4,17,OE
MpSg9:pHART C,,4,28,OE
MpSg9:pHART C,,4,32,OE
MpSg9:pHART C,,4,18,OE
SpKD1:pHART I,,4,17,KD
SpKD1:pHART I,,4,15,KD
SpKD1:pHART I,,4,16,KD
SpKD1:pHART I,,4,17,KD
SpKD1:pHART I,,4,11,KD
SpKD1:pHART I,,4,18,KD
SpKD1:pHART I,,4,15,KD
SpKD1:pHART I,,4,14,KD
SpKD1:pHART I,,4,11,KD
SpKD1:pHART I,,4,21,KD
MpSg9:pHART B,,4,25,OE
MpSg9:pHART B,,4,30,OE
MpSg9:pHART B,,4,16,OE
MpSg9:pHART B,,4,23,OE
MpSg9:pHART B,,4,20,OE
MpSg9:pHART B,,4,19,OE
MpSg9:pHART B,,4,18,OE
MpSg9:pHART B,,4,25,OE
MpSg9:pHART B,,4,23,OE
Wt,,4,16,
Wt,,4,16,
Wt,,4,11,
Wt,,4,24,
Wt,,4,14,
